155,265
317,251
482,238
659,226
844,212
1031,199
1228,185
1437,171
1655,155
155,449
315,439
483,427
656,415
840,406
1028,394
1222,384
1427,372
1640,361
159,631
319,620
482,612
655,604
838,597
1024,588
1218,581
1421,575
1633,565
164,807
322,800
483,795
654,790
838,785
1023,780
1215,775
1415,771
1624,766
168,981
325,977
487,975
658,974
838,972
1023,969
1215,966
1410,964
1619,960
175,1154
331,1155
493,1153
664,1152
838,1151
1024,1150
1216,1152
1412,1156
1617,1159
181,1325
339,1331
501,1334
672,1338
847,1341
1029,1343
1223,1344
1410,1344
1618,1347
192,1500
349,1506
510,1510
682,1513
855,1517
1034,1522
1227,1526
1416,1531
1623,1536
203,1673
359,1677
523,1679
697,1687
867,1693
1045,1699
1233,1707
1423,1713
1631,1725


