179,297
340,287
502,279
677,268
852,259
1037,250
1224,242
1422,235
1625,227
171,471
329,461
492,453
666,446
840,439
1028,432
1217,427
1413,423
1618,417
162,640
321,634
484,629
657,624
838,618
1021,615
1209,613
1408,612
1612,610
156,817
315,814
477,811
650,808
830,806
1015,804
1204,804
1405,802
1608,803
149,993
309,993
472,991
646,991
826,990
1012,990
1203,990
1402,992
1606,994
144,1173
304,1174
469,1178
643,1178
825,1182
1012,1183
1203,1186
1403,1189
1608,1193
139,1352
303,1359
468,1362
644,1366
826,1369
1012,1373
1205,1377
1405,1381
1612,1388
136,1539
302,1544
469,1551
645,1556
829,1562
1017,1567
1209,1574
1410,1579
1617,1587
132,1724
301,1731
473,1740
650,1747
834,1756
1023,1765
1217,1773
1417,1780
1626,1792


